post_title,sku,stock,regular_price,sale_price,whole_price,weight,product_url,low_stock_amount,tax:product_type,tax:product_visibility,tax:product_cat,tax:product_tag,tax:product_shipping_class,attribute:pa_brand,attribute_data:pa_brand,attribute_default:pa_brand,attribute:pa_gift-card-amount,attribute_data:pa_gift-card-amount,attribute_default:pa_gift-card-amount,attribute:pa_line,attribute_data:pa_line,attribute_default:pa_line,attribute:pa_number,attribute_data:pa_number,attribute_default:pa_number
L'Oreal Paris Age Perfect Golden Age Day Cream SPF 20,CF5301,2,1600,1399,,,,1,simple,rated-5,Cosmetics|Cosmetics > Skin &amp; Personal Care > Face Care|Cosmetics > Skin &amp; Personal Care > Face Care > Moisturizer|Cosmetics > Skin &amp; Personal Care,,,L'Oreal,0|1|0,,,,,L'Oreal Face Cream,1|1|0,,20,2|0|0,
L'Oreal Paris Revitalift Hydrating SPF 30 Cream (Age 40+),CF5201,2,1600,1350,,,,1,simple,rated-5,Cosmetics|Cosmetics > Skin &amp; Personal Care > Face Care|Cosmetics > Skin &amp; Personal Care > Face Care > Moisturizer|Cosmetics > Skin &amp; Personal Care,,,L'Oreal,0|1|0,,,,,L'Oreal Face Cream,1|1|0,,20,2|0|0,
L'Oreal Paris Revitalift Face Contours and Neck Re-Support Day Cream (Age 40+),CF5101,1,1800,1499,,,,1,simple,rated-5,Cosmetics|Cosmetics > Skin &amp; Personal Care > Face Care > Day &amp; Night Cream|Cosmetics > Skin &amp; Personal Care > Face Care|Cosmetics > Skin &amp; Personal Care > Face Care > Moisturizer|Cosmetics > Skin &amp; Personal Care,,,L'Oreal,0|1|0,,,,,L'Oreal Face Cream,1|1|0,,20,2|0|0,
Dove DermaSpa Intensive Hand Cream,CH1201,2,480,425,,,,1,simple,rated-5,Cosmetics|Cosmetics > Skin &amp; Personal Care > Hand &amp; Foot Care|Cosmetics > Skin &amp; Personal Care > Hand &amp; Foot Care > Hand Cream|Cosmetics > Skin &amp; Personal Care,,,Dove,0|1|0,,,,,Dove Hand Cream,1|1|0,,20,2|0|0,
L'Oreal Paris Pure Clay Detox Mask,CF4501,2,1250,1150,,,,1,simple,rated-5,Cosmetics|Cosmetics > Skin &amp; Personal Care > Face Care|Cosmetics > Skin &amp; Personal Care > Face Care > Masks &amp; Peels|Cosmetics > Skin &amp; Personal Care,,,L'Oreal,0|1|0,,,,,L'Oreal Face Masks &amp; Peels,1|1|0,,20,2|0|0,
Pears Pure & Gentle Bar Soap with Natural Oils,CS1101,1,220,170,,,,1,simple,rated-5,Cosmetics > Skin &amp; Personal Care > Bath &amp; Shower|Cosmetics|Cosmetics > Skin &amp; Personal Care|Cosmetics > Skin &amp; Personal Care > Bath &amp; Shower > Soaps,,,Pears,0|1|0,,,,,Pears Soap,1|1|0,,20,2|0|0,
Garnier Ultimate Blends Argan Oil and Almond Cream Dry Hair Treatment Mask,H2601,3,1080,950,,,,1,simple,rated-5,Cosmetics|Cosmetics > Hair|Cosmetics > Hair > Hair Care|Cosmetics > Hair > Hair Care > Hair Cream &amp; Masks,,,Garnier,0|1|0,,,,,Garnier Hair Mask,1|1|0,,20,2|0|0,
L'Oreal Paris Pure Clay Bright Mask,CF4401,2,1250,1150,,,,1,simple,rated-5,Cosmetics|Cosmetics > Skin &amp; Personal Care > Face Care|Cosmetics > Skin &amp; Personal Care > Face Care > Masks &amp; Peels|Cosmetics > Skin &amp; Personal Care,,,L'Oreal,0|1|0,,,,,L'Oreal Face Masks &amp; Peels,1|1|0,,20,2|0|0,
L'Oreal Paris Pure Clay Soothing Mask,CF4301,1,1250,1150,,,,1,simple,rated-5,Cosmetics|Cosmetics > Skin &amp; Personal Care > Face Care|Cosmetics > Skin &amp; Personal Care > Face Care > Masks &amp; Peels|Cosmetics > Skin &amp; Personal Care,,,L'Oreal,0|1|0,,,,,L'Oreal Face Masks &amp; Peels,1|1|0,,20,2|0|0,
L'Oreal Paris Pure Clay Glow Mask,CF4201,3,1500,1290,,,,1,simple,rated-5,Cosmetics|Cosmetics > Skin &amp; Personal Care > Face Care|Cosmetics > Skin &amp; Personal Care > Face Care > Masks &amp; Peels|Cosmetics > Skin &amp; Personal Care,,,L'Oreal,0|1|0,,,,,L'Oreal Face Masks &amp; Peels,1|1|0,,20,2|0|0,
Pond's White Beauty BB+ Cream - 01 Original,F6101,8,350,320,,,,1,simple,rated-5,Cosmetics > Makeup > Face Makeup > BB &amp; CC|Cosmetics|Cosmetics > Makeup > Face Makeup,,,Pond's,0|1|0,,,,,Pond's BB Cream,1|1|0,,20,2|0|0,
Rimmel Scandaleyes Waterproof Kohl Kajal- 001 Black,E2801,11,650,590,,,,1,simple,rated-5,Cosmetics|Cosmetics > Makeup > Eye Makeup|Cosmetics > Makeup > Eye Makeup > Kajal|Cosmetics > Makeup,,,Rimmel,0|1|0,,,,,Rimmel Kajal,1|1|0,,20,2|0|0,
Lakme Insta-Liner Water Resistant Eyeliner,E2901,2,340,275,,,,1,simple,rated-5,Cosmetics|Cosmetics > Makeup > Eye Makeup|Cosmetics > Makeup > Eye Makeup > Eyeliner|Cosmetics > Makeup,,,Lakme,0|1|0,,,,,Lakme Eyeliner,1|1|0,,20,2|0|0,
